prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
12948,131214,Communications,,Proceedings of the 1992 ACM annual conference,Kansas City,Missouri,USA,1992-03-03,1992-03-05,1992-04-01,1545
13564,1968613,Ubiquitous Information Management and Communication,,Proceedings of the 5th International Conference,Seoul,,Korea,2011-02-21,2011-02-23,2011-02-21,1545
13587,2534688,Smart material interfaces: another step to a material future,,Proceedings of the second international workshop,Sydney,,Australia,2013-12-13,2013-12-13,2013-12-13,1545
13639,1161023,Wireless mobile applications and services on WLAN hotspots,,Proceedings of the 4th international workshop,Los Angeles,CA,USA,2006-09-29,2006-09-29,2006-09-29,1545
13695,2328888,"Computational Aesthetics in Graphics, Visualization, and Imaging",,Proceedings of the Eighth Annual Symposium,Annecy,,France,2012-06-04,2012-06-06,2012-06-04,13696
13853,2428303,Computational Visual Media,,Proceedings of the First international conference,Beijing,,China,2012-11-08,2012-11-10,2012-11-08,13854
14090,2557696,,,Proceedings of the 2013 Summer Computer Simulation Conference,Toronto,Ontario,Canada,2013-07-07,2013-07-10,2013-07-07,14091
14747,1509456,Computer-Aided Design,,Proceedings of the 2008 IEEE/ACM International Conference,San Jose,California,,2008-11-10,2008-11-13,2008-11-10,4124
14842,99583,Principles of programming languages,,Proceedings of the 18th ACM SIGPLAN-SIGACT symposium,Orlando,Florida,USA,1991-01-21,1991-01-23,1991-01-03,1545
14916,1275462,Computer architecture education,Held in conjunction with the 29th International Symposium on Computer Architecture,Proceedings of the 2002 workshop,Anchorage,Alaska,,2002-05-26,,2002-05-26,1545
15259,2052136,,,Proceedings of the 2011 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,,,,2011-08-22,2011-08-27,2011-08-22,3039
15299,134494,Ada,software: foundation for competitveness, summer SIGAda meeting,McLean,Virginia,USA,1991-06-17,1991-06-21,1991-06-01,1545
15349,266741,Role-based access control,,Proceedings of the second ACM workshop,Fairfax,Virginia,USA,1997-11-06,1997-11-07,1997-11-06,1545
15380,2426636,Innovation and technology in computer science education 2012 working groups,,Proceedings of the final reports,Haifa,,Israel,2012-07-03,2012-07-05,2012-07-03,1545
15444,966618,Distributed event-based systems,,Proceedings of the 2nd international workshop,San Diego,California,,2003-06-08,2003-06-08,2003-06-08,1545
15501,800075,Microprogramming,,Proceedings of the 14th annual workshop,Chatham,Massachusetts,USA,1981-12-01,1981-12-01,1981-12-01,4124
15553,2370919,,,Proceedings of the Digital Production Symposium,Glendale,California,,2012-08-04,2012-08-04,2012-08-04,1545
15591,2072561,Interactive multimedia on mobile and portable devices,,Proceedings of the 2011 international ACM workshop,Scottsdale,Arizona,USA,2011-11-29,2011-11-29,2011-11-29,1545
15920,2485922,Computer Architecture,,Proceedings of the 40th Annual International Symposium,Tel-Aviv,,Israel,2013-06-23,2013-06-27,2013-06-23,1545
16396,314500,Discrete algorithms,,Proceedings of the tenth annual ACM-SIAM symposium,Baltimore,Maryland,USA,1999-01-17,1999-01-19,1999-01-01,16397
16443,298595,Formal methods in software practice,,Proceedings of the second workshop,Clearwater Beach,Florida,USA,1998-03-04,1998-03-05,1998-03-04,1545
16587,28315,APL,APL in transition,Proceedings of the international conference,Dallas,Texas,USA,1987-05-10,1987-05-14,1987-01-01,1545
16703,1414694,Information interaction in context,,Proceedings of the second international symposium,London,,United Kingdom,2008-10-14,2008-10-17,2008-10-14,1545
16966,2263019,Simulation Tools and Techniques,,Proceedings of the 5th International ICST Conference,Desenzano del Garda,,Italy,2012-03-19,2012-03-23,2012-03-19,6032
17131,1996130,High performance distributed computing,,Proceedings of the 20th international symposium,San Jose,California,USA,2011-06-08,2011-06-11,2011-06-08,1545
17394,1795234,Participatory Design 2008,,Proceedings of the Tenth Anniversary Conference,Bloomington,Indiana,,2008-10-01,2008-10-04,2008-10-01,17395
17772,1499402,,,"Proceedings of the June 13-16, 1977, national computer conference",Dallas,Texas,,1977-06-13,1977-06-16,1977-06-13,1545
18495,2506583,"Bioinformatics, Computational Biology and Biomedical Informatics",,Proceedings of the International Conference,Wshington DC,,USA,2013-09-22,2013-09-25,2013-09-22,1545
18638,139404,Discrete algorithms,,Proceedings of the third annual ACM-SIAM symposium,Orlando,Florida,USA,,,1992-09-01,16397
18728,289393,Computer science education,,Proceedings of the 3rd Australasian conference,The University of Queensland,,Australia,1998-07-08,1998-07-10,1998-07-08,1545
18851,1730836,Multimedia systems,,Proceedings of the first annual ACM SIGMM conference,Phoenix,Arizona,USA,2010-02-22,2010-02-23,2010-02-22,1545
18879,1435467,Middleware for network eccentric and mobile applications,,Proceedings of the 6th workshop,Glasgow,,Scotland,2008-04-01,2008-04-01,2008-04-01,1545
18932,2078101,Interactive Entertainment,,Proceedings of the 7th Australasian Conference,Wellington,,New Zealand,2011-11-22,2011-11-23,2011-11-22,18933
19025,989459,Mobile ad hoc networking and computing,,Proceedings of the 5th ACM international symposium,"Roppongi Hills, Tokyo",,Japan,2004-05-24,2004-05-26,2004-05-24,1545
19054,1996014,Data-intensive distributed computing,,Proceedings of the fourth international workshop,San Jose,California,USA,2011-06-08,2011-06-08,2011-06-08,1545
19087,2030092,Ubiquitous affective awareness and intelligent interaction,,Proceedings of 2011 international workshop,Beijing,,China,2011-09-18,2011-09-18,2011-09-18,1545
19345,130069,Applied computing,technological challenges of the 1990's,Proceedings of the 1992 ACM/SIGAPP symposium,Kansas City,Missouri,USA,,,1992-03-01,1545
19629,800181,,,Proceedings of the 1975 annual conference,,,,,,1975-01-01,1545
19755,1966445,Computer systems,,Proceedings of the sixth conference,Salzburg,,Austria,2011-04-10,2011-04-13,2011-04-10,1545
19825,271658,Real-Time Ada,,Proceedings of the eighth international workshop,Ravenscar,,United Kingdom,,,1997-10-01,1545
19907,107971,Measurement and modeling of computer systems,,Proceedings of the 1991 ACM SIGMETRICS conference,San Diego,California,USA,1991-05-21,1991-05-24,1991-04-02,1545
20017,503048,Field-programmable gate arrays,,Proceedings of the 2002 ACM/SIGDA tenth international symposium,Monterey,California,USA,2002-02-24,2002-02-26,2002-02-24,1545
22155,1363686,Applied computing,,Proceedings of the 2008 ACM symposium,"Fortaleza, Ceara",,Brazil,2008-03-16,2008-03-20,2008-03-16,1545
